snapshot_idx,snapshot_end_time,lag,edge_count,edge_density,edge_jaccard,physical_recall,dynamic_precision,mean_edge_weight,max_edge_weight
58,5567,2,291,0.0011663326653306614,0.20287769784172663,0.25871559633027524,0.4845360824742268,0.1331997811794281,0.8843908309936523
58,5567,3,75,0.0003006012024048096,0.05084745762711865,0.05504587155963303,0.4,0.07218857109546661,0.6656531095504761
59,5663,1,215,0.0008617234468937876,0.1638591117917305,0.1963302752293578,0.49767441860465117,0.21619564294815063,0.9798891544342041
59,5663,2,292,0.0011703406813627255,0.21304347826086956,0.26972477064220185,0.5034246575342466,0.14389944076538086,1.0
59,5663,3,84,0.0003366733466933868,0.06972789115646258,0.07522935779816514,0.4880952380952381,0.06893143057823181,0.8187905550003052
60,5759,1,216,0.0008657314629258517,0.16897081413210446,0.2018348623853211,0.5092592592592593,0.23361234366893768,0.9987092614173889
60,5759,2,283,0.0011342685370741483,0.2,0.25321100917431194,0.4876325088339223,0.15116389095783234,1.0
60,5759,3,94,0.00037675350701402805,0.0775716694772344,0.08440366972477065,0.48936170212765956,0.06540035456418991,0.5083987712860107
61,5855,1,228,0.0009138276553106213,0.16066066066066065,0.1963302752293578,0.4692982456140351,0.2381790578365326,0.8432332277297974
61,5855,2,259,0.0010380761523046092,0.19287833827893175,0.23853211009174313,0.5019305019305019,0.14565004408359528,1.0
61,5855,3,96,0.00038476953907815633,0.08644067796610169,0.09357798165137615,0.53125,0.06800347566604614,0.6354653835296631
